"AttributeId","quality_level","AttType","MaxUpgradeLevel","AttNum","BasicAtt1","BasicAtt2","BasicAtt3","UpgradeAttEach1","UpgradeAttEach2","UpgradeAttEach3","UpgradeId","BuffIdArray","ItemTemplateId"
"141060025","6","25","100","2","(4,10,2800,0,1)","(4,22,1680,0,1)","","(4,10,184,0,1)","(4,22,110,0,1)","","142060001","","31130165"
"141060026","6","26","100","2","(4,11,5600,0,1)","(4,22,1680,0,1)","","(4,11,367,0,1)","(4,22,110,0,1)","","142060001","","31130166"
"141060027","6","27","100","2","(4,12,5600,0,1)","(4,22,1680,0,1)","","(4,12,367,0,1)","(4,22,110,0,1)","","142060001","","31130167"
"141060028","6","28","100","3","(4,5,2800,0,1)","(4,6,2800,0,1)","(4,22,1680,0,1)","(4,5,184,0,1)","(4,6,184,0,1)","(4,22,110,0,1)","142060001","","31130168"
"141070001","7","1","100","2","(4,7,24300,0,1)","(4,18,2430,0,1)","","(4,7,1388,0,1)","(4,18,139,0,1)","","142070001","","31130169"
"141070002","7","2","100","2","(4,8,48600,0,1)","(4,18,2430,0,1)","","(4,8,2775,0,1)","(4,18,139,0,1)","","142070001","","31130170"
"141070003","7","3","100","2","(4,9,4050,0,1)","(4,18,2430,0,1)","","(4,9,232,0,1)","(4,18,139,0,1)","","142070001","","31130171"
"141070004","7","4","100","2","(4,10,4050,0,1)","(4,18,2430,0,1)","","(4,10,232,0,1)","(4,18,139,0,1)","","142070001","","31130172"
"141070005","7","5","100","2","(4,11,8100,0,1)","(4,18,2430,0,1)","","(4,11,463,0,1)","(4,18,139,0,1)","","142070001","","31130173"
"141070006","7","6","100","2","(4,12,8100,0,1)","(4,18,2430,0,1)","","(4,12,463,0,1)","(4,18,139,0,1)","","142070001","","31130174"
"141070007","7","7","100","3","(4,5,4050,0,1)","(4,6,4050,0,1)","(4,18,2430,0,1)","(4,5,232,0,1)","(4,6,232,0,1)","(4,18,139,0,1)","142070001","","31130175"
"141070008","7","8","100","2","(4,7,24300,0,1)","(4,16,2430,0,1)","","(4,7,1388,0,1)","(4,16,139,0,1)","","142070001","","31130176"
"141070009","7","9","100","2","(4,8,48600,0,1)","(4,16,2430,0,1)","","(4,8,2775,0,1)","(4,16,139,0,1)","","142070001","","31130177"
"141070010","7","10","100","2","(4,9,4050,0,1)","(4,16,2430,0,1)","","(4,9,232,0,1)","(4,16,139,0,1)","","142070001","","31130178"
"141070011","7","11","100","2","(4,10,4050,0,1)","(4,16,2430,0,1)","","(4,10,232,0,1)","(4,16,139,0,1)","","142070001","","31130179"
"141070012","7","12","100","2","(4,11,8100,0,1)","(4,16,2430,0,1)","","(4,11,463,0,1)","(4,16,139,0,1)","","142070001","","31130180"
"141070013","7","13","100","2","(4,12,8100,0,1)","(4,16,2430,0,1)","","(4,12,463,0,1)","(4,16,139,0,1)","","142070001","","31130181"
"141070014","7","14","100","3","(4,5,4050,0,1)","(4,6,4050,0,1)","(4,16,2430,0,1)","(4,5,232,0,1)","(4,6,232,0,1)","(4,16,139,0,1)","142070001","","31130182"
"141070015","7","15","100","2","(4,7,24300,0,1)","(4,20,2430,0,1)","","(4,7,1388,0,1)","(4,20,139,0,1)","","142070001","","31130183"
"141070016","7","16","100","2","(4,8,48600,0,1)","(4,20,2430,0,1)","","(4,8,2775,0,1)","(4,20,139,0,1)","","142070001","","31130184"
"141070017","7","17","100","2","(4,9,4050,0,1)","(4,20,2430,0,1)","","(4,9,232,0,1)","(4,20,139,0,1)","","142070001","","31130185"
"141070018","7","18","100","2","(4,10,4050,0,1)","(4,20,2430,0,1)","","(4,10,232,0,1)","(4,20,139,0,1)","","142070001","","31130186"
"141070019","7","19","100","2","(4,11,8100,0,1)","(4,20,2430,0,1)","","(4,11,463,0,1)","(4,20,139,0,1)","","142070001","","31130187"
"141070020","7","20","100","2","(4,12,8100,0,1)","(4,20,2430,0,1)","","(4,12,463,0,1)","(4,20,139,0,1)","","142070001","","31130188"
"141070021","7","21","100","3","(4,5,4050,0,1)","(4,6,4050,0,1)","(4,20,2430,0,1)","(4,5,232,0,1)","(4,6,232,0,1)","(4,20,139,0,1)","142070001","","31130189"
"141070022","7","22","100","2","(4,7,24300,0,1)","(4,22,2430,0,1)","","(4,7,1388,0,1)","(4,22,139,0,1)","","142070001","","31130190"
"141070023","7","23","100","2","(4,8,48600,0,1)","(4,22,2430,0,1)","","(4,8,2775,0,1)","(4,22,139,0,1)","","142070001","","31130191"
"141070024","7","24","100","2","(4,9,4050,0,1)","(4,22,2430,0,1)","","(4,9,232,0,1)","(4,22,139,0,1)","","142070001","","31130192"
"141070025","7","25","100","2","(4,10,4050,0,1)","(4,22,2430,0,1)","","(4,10,232,0,1)","(4,22,139,0,1)","","142070001","","31130193"
"141070026","7","26","100","2","(4,11,8100,0,1)","(4,22,2430,0,1)","","(4,11,463,0,1)","(4,22,139,0,1)","","142070001","","31130194"
"141070027","7","27","100","2","(4,12,8100,0,1)","(4,22,2430,0,1)","","(4,12,463,0,1)","(4,22,139,0,1)","","142070001","","31130195"
"141070028","7","28","100","3","(4,5,4050,0,1)","(4,6,4050,0,1)","(4,22,2430,0,1)","(4,5,232,0,1)","(4,6,232,0,1)","(4,22,139,0,1)","142070001","","31130196"
"141080001","8","1","100","2","(4,7,33150,0,1)","(4,18,3315,0,1)","","(4,7,1713,0,1)","(4,18,172,0,1)","","142080001","","31130197"
"141080002","8","2","100","2","(4,8,66300,0,1)","(4,18,3315,0,1)","","(4,8,3425,0,1)","(4,18,172,0,1)","","142080001","","31130198"
"141080003","8","3","100","2","(4,9,5525,0,1)","(4,18,3315,0,1)","","(4,9,286,0,1)","(4,18,172,0,1)","","142080001","","31130199"
"141080004","8","4","100","2","(4,10,5525,0,1)","(4,18,3315,0,1)","","(4,10,286,0,1)","(4,18,172,0,1)","","142080001","","31130200"
"141080005","8","5","100","2","(4,11,11050,0,1)","(4,18,3315,0,1)","","(4,11,571,0,1)","(4,18,172,0,1)","","142080001","","31130201"
"141080006","8","6","100","2","(4,12,11050,0,1)","(4,18,3315,0,1)","","(4,12,571,0,1)","(4,18,172,0,1)","","142080001","","31130202"
"141080007","8","7","100","3","(4,5,5525,0,1)","(4,6,5525,0,1)","(4,18,3315,0,1)","(4,5,286,0,1)","(4,6,286,0,1)","(4,18,172,0,1)","142080001","","31130203"
"141080008","8","8","100","2","(4,7,33150,0,1)","(4,16,3315,0,1)","","(4,7,1713,0,1)","(4,16,172,0,1)","","142080001","","31130204"
"141080009","8","9","100","2","(4,8,66300,0,1)","(4,16,3315,0,1)","","(4,8,3425,0,1)","(4,16,172,0,1)","","142080001","","31130205"
"141080010","8","10","100","2","(4,9,5525,0,1)","(4,16,3315,0,1)","","(4,9,286,0,1)","(4,16,172,0,1)","","142080001","","31130206"
"141080011","8","11","100","2","(4,10,5525,0,1)","(4,16,3315,0,1)","","(4,10,286,0,1)","(4,16,172,0,1)","","142080001","","31130207"
"141080012","8","12","100","2","(4,11,11050,0,1)","(4,16,3315,0,1)","","(4,11,571,0,1)","(4,16,172,0,1)","","142080001","","31130208"
"141080013","8","13","100","2","(4,12,11050,0,1)","(4,16,3315,0,1)","","(4,12,571,0,1)","(4,16,172,0,1)","","142080001","","31130209"
"141080014","8","14","100","3","(4,5,5525,0,1)","(4,6,5525,0,1)","(4,16,3315,0,1)","(4,5,286,0,1)","(4,6,286,0,1)","(4,16,172,0,1)","142080001","","31130210"
"141080015","8","15","100","2","(4,7,33150,0,1)","(4,20,3315,0,1)","","(4,7,1713,0,1)","(4,20,172,0,1)","","142080001","","31130211"
"141080016","8","16","100","2","(4,8,66300,0,1)","(4,20,3315,0,1)","","(4,8,3425,0,1)","(4,20,172,0,1)","","142080001","","31130212"
"141080017","8","17","100","2","(4,9,5525,0,1)","(4,20,3315,0,1)","","(4,9,286,0,1)","(4,20,172,0,1)","","142080001","","31130213"
"141080018","8","18","100","2","(4,10,5525,0,1)","(4,20,3315,0,1)","","(4,10,286,0,1)","(4,20,172,0,1)","","142080001","","31130214"
"141080019","8","19","100","2","(4,11,11050,0,1)","(4,20,3315,0,1)","","(4,11,571,0,1)","(4,20,172,0,1)","","142080001","","31130215"
"141080020","8","20","100","2","(4,12,11050,0,1)","(4,20,3315,0,1)","","(4,12,571,0,1)","(4,20,172,0,1)","","142080001","","31130216"
"141080021","8","21","100","3","(4,5,5525,0,1)","(4,6,5525,0,1)","(4,20,3315,0,1)","(4,5,286,0,1)","(4,6,286,0,1)","(4,20,172,0,1)","142080001","","31130217"
"141080022","8","22","100","2","(4,7,33150,0,1)","(4,22,3315,0,1)","","(4,7,1713,0,1)","(4,22,172,0,1)","","142080001","","31130218"
"141080023","8","23","100","2","(4,8,66300,0,1)","(4,22,3315,0,1)","","(4,8,3425,0,1)","(4,22,172,0,1)","","142080001","","31130219"
"141080024","8","24","100","2","(4,9,5525,0,1)","(4,22,3315,0,1)","","(4,9,286,0,1)","(4,22,172,0,1)","","142080001","","31130220"
"141080025","8","25","100","2","(4,10,5525,0,1)","(4,22,3315,0,1)","","(4,10,286,0,1)","(4,22,172,0,1)","","142080001","","31130221"
"141080026","8","26","100","2","(4,11,11050,0,1)","(4,22,3315,0,1)","","(4,11,571,0,1)","(4,22,172,0,1)","","142080001","","31130222"
"141080027","8","27","100","2","(4,12,11050,0,1)","(4,22,3315,0,1)","","(4,12,571,0,1)","(4,22,172,0,1)","","142080001","","31130223"
"141080028","8","28","100","3","(4,5,5525,0,1)","(4,6,5525,0,1)","(4,22,3315,0,1)","(4,5,286,0,1)","(4,6,286,0,1)","(4,22,172,0,1)","142080001","","31130224"
"141090001","9","1","100","2","(4,7,42000,0,1)","(4,18,4200,0,1)","","(4,7,2075,0,1)","(4,18,208,0,1)","","142090001","","31130225"
"141090002","9","2","100","2","(4,8,84000,0,1)","(4,18,4200,0,1)","","(4,8,4150,0,1)","(4,18,208,0,1)","","142090001","","31130226"
"141090003","9","3","100","2","(4,9,7000,0,1)","(4,18,4200,0,1)","","(4,9,346,0,1)","(4,18,208,0,1)","","142090001","","31130227"
"141090004","9","4","100","2","(4,10,7000,0,1)","(4,18,4200,0,1)","","(4,10,346,0,1)","(4,18,208,0,1)","","142090001","","31130228"
"141090005","9","5","100","2","(4,11,14000,0,1)","(4,18,4200,0,1)","","(4,11,692,0,1)","(4,18,208,0,1)","","142090001","","31130229"
"141090006","9","6","100","2","(4,12,14000,0,1)","(4,18,4200,0,1)","","(4,12,692,0,1)","(4,18,208,0,1)","","142090001","","31130230"
"141090007","9","7","100","3","(4,5,7000,0,1)","(4,6,7000,0,1)","(4,18,4200,0,1)","(4,5,346,0,1)","(4,6,346,0,1)","(4,18,208,0,1)","142090001","","31130231"
"141090008","9","8","100","2","(4,7,42000,0,1)","(4,16,4200,0,1)","","(4,7,2075,0,1)","(4,16,208,0,1)","","142090001","","31130232"
"141090009","9","9","100","2","(4,8,84000,0,1)","(4,16,4200,0,1)","","(4,8,4150,0,1)","(4,16,208,0,1)","","142090001","","31130233"
"141090010","9","10","100","2","(4,9,7000,0,1)","(4,16,4200,0,1)","","(4,9,346,0,1)","(4,16,208,0,1)","","142090001","","31130234"
"141090011","9","11","100","2","(4,10,7000,0,1)","(4,16,4200,0,1)","","(4,10,346,0,1)","(4,16,208,0,1)","","142090001","","31130235"
"141090012","9","12","100","2","(4,11,14000,0,1)","(4,16,4200,0,1)","","(4,11,692,0,1)","(4,16,208,0,1)","","142090001","","31130236"
"141090013","9","13","100","2","(4,12,14000,0,1)","(4,16,4200,0,1)","","(4,12,692,0,1)","(4,16,208,0,1)","","142090001","","31130237"
"141090014","9","14","100","3","(4,5,7000,0,1)","(4,6,7000,0,1)","(4,16,4200,0,1)","(4,5,346,0,1)","(4,6,346,0,1)","(4,16,208,0,1)","142090001","","31130238"
"141090015","9","15","100","2","(4,7,42000,0,1)","(4,20,4200,0,1)","","(4,7,2075,0,1)","(4,20,208,0,1)","","142090001","","31130239"
"141090016","9","16","100","2","(4,8,84000,0,1)","(4,20,4200,0,1)","","(4,8,4150,0,1)","(4,20,208,0,1)","","142090001","","31130240"
"141090017","9","17","100","2","(4,9,7000,0,1)","(4,20,4200,0,1)","","(4,9,346,0,1)","(4,20,208,0,1)","","142090001","","31130241"
"141090018","9","18","100","2","(4,10,7000,0,1)","(4,20,4200,0,1)","","(4,10,346,0,1)","(4,20,208,0,1)","","142090001","","31130242"
"141090019","9","19","100","2","(4,11,14000,0,1)","(4,20,4200,0,1)","","(4,11,692,0,1)","(4,20,208,0,1)","","142090001","","31130243"
"141090020","9","20","100","2","(4,12,14000,0,1)","(4,20,4200,0,1)","","(4,12,692,0,1)","(4,20,208,0,1)","","142090001","","31130244"
"141090021","9","21","100","3","(4,5,7000,0,1)","(4,6,7000,0,1)","(4,20,4200,0,1)","(4,5,346,0,1)","(4,6,346,0,1)","(4,20,208,0,1)","142090001","","31130245"
"141090022","9","22","100","2","(4,7,42000,0,1)","(4,22,4200,0,1)","","(4,7,2075,0,1)","(4,22,208,0,1)","","142090001","","31130246"
"141090023","9","23","100","2","(4,8,84000,0,1)","(4,22,4200,0,1)","","(4,8,4150,0,1)","(4,22,208,0,1)","","142090001","","31130247"
"141090024","9","24","100","2","(4,9,7000,0,1)","(4,22,4200,0,1)","","(4,9,346,0,1)","(4,22,208,0,1)","","142090001","","31130248"
"141090025","9","25","100","2","(4,10,7000,0,1)","(4,22,4200,0,1)","","(4,10,346,0,1)","(4,22,208,0,1)","","142090001","","31130249"
"141090026","9","26","100","2","(4,11,14000,0,1)","(4,22,4200,0,1)","","(4,11,692,0,1)","(4,22,208,0,1)","","142090001","","31130250"
"141090027","9","27","100","2","(4,12,14000,0,1)","(4,22,4200,0,1)","","(4,12,692,0,1)","(4,22,208,0,1)","","142090001","","31130251"
"141090028","9","28","100","3","(4,5,7000,0,1)","(4,6,7000,0,1)","(4,22,4200,0,1)","(4,5,346,0,1)","(4,6,346,0,1)","(4,22,208,0,1)","142090001","","31130252"
"141100001","10","1","100","2","(4,7,48000,0,1)","(4,18,4800,0,1)","","(4,7,2475,0,1)","(4,18,248,0,1)","","142100001","","31130253"
"141100002","10","2","100","2","(4,8,96000,0,1)","(4,18,4800,0,1)","","(4,8,4950,0,1)","(4,18,248,0,1)","","142100001","","31130254"
"141100003","10","3","100","2","(4,9,8000,0,1)","(4,18,4800,0,1)","","(4,9,413,0,1)","(4,18,248,0,1)","","142100001","","31130255"
"141100004","10","4","100","2","(4,10,8000,0,1)","(4,18,4800,0,1)","","(4,10,413,0,1)","(4,18,248,0,1)","","142100001","","31130256"
"141100005","10","5","100","2","(4,11,16000,0,1)","(4,18,4800,0,1)","","(4,11,825,0,1)","(4,18,248,0,1)","","142100001","","31130257"
"141100006","10","6","100","2","(4,12,16000,0,1)","(4,18,4800,0,1)","","(4,12,825,0,1)","(4,18,248,0,1)","","142100001","","31130258"
"141100007","10","7","100","3","(4,5,8000,0,1)","(4,6,8000,0,1)","(4,18,4800,0,1)","(4,5,413,0,1)","(4,6,413,0,1)","(4,18,248,0,1)","142100001","","31130259"
"141100008","10","8","100","2","(4,7,48000,0,1)","(4,16,4800,0,1)","","(4,7,2475,0,1)","(4,16,248,0,1)","","142100001","","31130260"
"141100009","10","9","100","2","(4,8,96000,0,1)","(4,16,4800,0,1)","","(4,8,4950,0,1)","(4,16,248,0,1)","","142100001","","31130261"
"141100010","10","10","100","2","(4,9,8000,0,1)","(4,16,4800,0,1)","","(4,9,413,0,1)","(4,16,248,0,1)","","142100001","","31130262"
"141100011","10","11","100","2","(4,10,8000,0,1)","(4,16,4800,0,1)","","(4,10,413,0,1)","(4,16,248,0,1)","","142100001","","31130263"
"141100012","10","12","100","2","(4,11,16000,0,1)","(4,16,4800,0,1)","","(4,11,825,0,1)","(4,16,248,0,1)","","142100001","","31130264"
"141100013","10","13","100","2","(4,12,16000,0,1)","(4,16,4800,0,1)","","(4,12,825,0,1)","(4,16,248,0,1)","","142100001","","31130265"
"141100014","10","14","100","3","(4,5,8000,0,1)","(4,6,8000,0,1)","(4,16,4800,0,1)","(4,5,413,0,1)","(4,6,413,0,1)","(4,16,248,0,1)","142100001","","31130266"
"141100015","10","15","100","2","(4,7,48000,0,1)","(4,20,4800,0,1)","","(4,7,2475,0,1)","(4,20,248,0,1)","","142100001","","31130267"
"141100016","10","16","100","2","(4,8,96000,0,1)","(4,20,4800,0,1)","","(4,8,4950,0,1)","(4,20,248,0,1)","","142100001","","31130268"
"141100017","10","17","100","2","(4,9,8000,0,1)","(4,20,4800,0,1)","","(4,9,413,0,1)","(4,20,248,0,1)","","142100001","","31130269"
"141100018","10","18","100","2","(4,10,8000,0,1)","(4,20,4800,0,1)","","(4,10,413,0,1)","(4,20,248,0,1)","","142100001","","31130270"
"141100019","10","19","100","2","(4,11,16000,0,1)","(4,20,4800,0,1)","","(4,11,825,0,1)","(4,20,248,0,1)","","142100001","","31130271"
"141100020","10","20","100","2","(4,12,16000,0,1)","(4,20,4800,0,1)","","(4,12,825,0,1)","(4,20,248,0,1)","","142100001","","31130272"
"141100021","10","21","100","3","(4,5,8000,0,1)","(4,6,8000,0,1)","(4,20,4800,0,1)","(4,5,413,0,1)","(4,6,413,0,1)","(4,20,248,0,1)","142100001","","31130273"
"141100022","10","22","100","2","(4,7,48000,0,1)","(4,22,4800,0,1)","","(4,7,2475,0,1)","(4,22,248,0,1)","","142100001","","31130274"
"141100023","10","23","100","2","(4,8,96000,0,1)","(4,22,4800,0,1)","","(4,8,4950,0,1)","(4,22,248,0,1)","","142100001","","31130275"
"141100024","10","24","100","2","(4,9,8000,0,1)","(4,22,4800,0,1)","","(4,9,413,0,1)","(4,22,248,0,1)","","142100001","","31130276"
"141100025","10","25","100","2","(4,10,8000,0,1)","(4,22,4800,0,1)","","(4,10,413,0,1)","(4,22,248,0,1)","","142100001","","31130277"
"141100026","10","26","100","2","(4,11,16000,0,1)","(4,22,4800,0,1)","","(4,11,825,0,1)","(4,22,248,0,1)","","142100001","","31130278"
"141100027","10","27","100","2","(4,12,16000,0,1)","(4,22,4800,0,1)","","(4,12,825,0,1)","(4,22,248,0,1)","","142100001","","31130279"
"141100028","10","28","100","3","(4,5,8000,0,1)","(4,6,8000,0,1)","(4,22,4800,0,1)","(4,5,413,0,1)","(4,6,413,0,1)","(4,22,248,0,1)","142100001","","31130280"
"141110001","11","1","100","2","(4,7,54750,0,1)","(4,18,5475,0,1)","","(4,7,2913,0,1)","(4,18,292,0,1)","","142110001","","31130281"
"141110002","11","2","100","2","(4,8,109500,0,1)","(4,18,5475,0,1)","","(4,8,5825,0,1)","(4,18,292,0,1)","","142110001","","31130282"
"141110003","11","3","100","2","(4,9,9125,0,1)","(4,18,5475,0,1)","","(4,9,486,0,1)","(4,18,292,0,1)","","142110001","","31130283"
"141110004","11","4","100","2","(4,10,9125,0,1)","(4,18,5475,0,1)","","(4,10,486,0,1)","(4,18,292,0,1)","","142110001","","31130284"
"141110005","11","5","100","2","(4,11,18250,0,1)","(4,18,5475,0,1)","","(4,11,971,0,1)","(4,18,292,0,1)","","142110001","","31130285"
"141110006","11","6","100","2","(4,12,18250,0,1)","(4,18,5475,0,1)","","(4,12,971,0,1)","(4,18,292,0,1)","","142110001","","31130286"
"141110007","11","7","100","3","(4,5,9125,0,1)","(4,6,9125,0,1)","(4,18,5475,0,1)","(4,5,486,0,1)","(4,6,486,0,1)","(4,18,292,0,1)","142110001","","31130287"
"141110008","11","8","100","2","(4,7,54750,0,1)","(4,16,5475,0,1)","","(4,7,2913,0,1)","(4,16,292,0,1)","","142110001","","31130288"
"141110009","11","9","100","2","(4,8,109500,0,1)","(4,16,5475,0,1)","","(4,8,5825,0,1)","(4,16,292,0,1)","","142110001","","31130289"
"141110010","11","10","100","2","(4,9,9125,0,1)","(4,16,5475,0,1)","","(4,9,486,0,1)","(4,16,292,0,1)","","142110001","","31130290"
"141110011","11","11","100","2","(4,10,9125,0,1)","(4,16,5475,0,1)","","(4,10,486,0,1)","(4,16,292,0,1)","","142110001","","31130291"
"141110012","11","12","100","2","(4,11,18250,0,1)","(4,16,5475,0,1)","","(4,11,971,0,1)","(4,16,292,0,1)","","142110001","","31130292"
"141110013","11","13","100","2","(4,12,18250,0,1)","(4,16,5475,0,1)","","(4,12,971,0,1)","(4,16,292,0,1)","","142110001","","31130293"
"141110014","11","14","100","3","(4,5,9125,0,1)","(4,6,9125,0,1)","(4,16,5475,0,1)","(4,5,486,0,1)","(4,6,486,0,1)","(4,16,292,0,1)","142110001","","31130294"
"141110015","11","15","100","2","(4,7,54750,0,1)","(4,20,5475,0,1)","","(4,7,2913,0,1)","(4,20,292,0,1)","","142110001","","31130295"
"141110016","11","16","100","2","(4,8,109500,0,1)","(4,20,5475,0,1)","","(4,8,5825,0,1)","(4,20,292,0,1)","","142110001","","31130296"
"141110017","11","17","100","2","(4,9,9125,0,1)","(4,20,5475,0,1)","","(4,9,486,0,1)","(4,20,292,0,1)","","142110001","","31130297"
"141110018","11","18","100","2","(4,10,9125,0,1)","(4,20,5475,0,1)","","(4,10,486,0,1)","(4,20,292,0,1)","","142110001","","31130298"
"141110019","11","19","100","2","(4,11,18250,0,1)","(4,20,5475,0,1)","","(4,11,971,0,1)","(4,20,292,0,1)","","142110001","","31130299"
"141110020","11","20","100","2","(4,12,18250,0,1)","(4,20,5475,0,1)","","(4,12,971,0,1)","(4,20,292,0,1)","","142110001","","31130300"
"141110021","11","21","100","3","(4,5,9125,0,1)","(4,6,9125,0,1)","(4,20,5475,0,1)","(4,5,486,0,1)","(4,6,486,0,1)","(4,20,292,0,1)","142110001","","31130301"
"141110022","11","22","100","2","(4,7,54750,0,1)","(4,22,5475,0,1)","","(4,7,2913,0,1)","(4,22,292,0,1)","","142110001","","31130302"
"141110023","11","23","100","2","(4,8,109500,0,1)","(4,22,5475,0,1)","","(4,8,5825,0,1)","(4,22,292,0,1)","","142110001","","31130303"
"141110024","11","24","100","2","(4,9,9125,0,1)","(4,22,5475,0,1)","","(4,9,486,0,1)","(4,22,292,0,1)","","142110001","","31130304"
"141110025","11","25","100","2","(4,10,9125,0,1)","(4,22,5475,0,1)","","(4,10,486,0,1)","(4,22,292,0,1)","","142110001","","31130305"
"141110026","11","26","100","2","(4,11,18250,0,1)","(4,22,5475,0,1)","","(4,11,971,0,1)","(4,22,292,0,1)","","142110001","","31130306"
"141110027","11","27","100","2","(4,12,18250,0,1)","(4,22,5475,0,1)","","(4,12,971,0,1)","(4,22,292,0,1)","","142110001","","31130307"
"141110028","11","28","100","3","(4,5,9125,0,1)","(4,6,9125,0,1)","(4,22,5475,0,1)","(4,5,486,0,1)","(4,6,486,0,1)","(4,22,292,0,1)","142110001","","31130308"
"141120001","12","1","100","2","(4,7,62100,0,1)","(4,18,6210,0,1)","","(4,7,3388,0,1)","(4,18,339,0,1)","","142120001","","31130309"
"141120002","12","2","100","2","(4,8,124200,0,1)","(4,18,6210,0,1)","","(4,8,6775,0,1)","(4,18,339,0,1)","","142120001","","31130310"
"141120003","12","3","100","2","(4,9,10350,0,1)","(4,18,6210,0,1)","","(4,9,565,0,1)","(4,18,339,0,1)","","142120001","","31130311"
"141120004","12","4","100","2","(4,10,10350,0,1)","(4,18,6210,0,1)","","(4,10,565,0,1)","(4,18,339,0,1)","","142120001","","31130312"
"141120005","12","5","100","2","(4,11,20700,0,1)","(4,18,6210,0,1)","","(4,11,1130,0,1)","(4,18,339,0,1)","","142120001","","31130313"
"141120006","12","6","100","2","(4,12,20700,0,1)","(4,18,6210,0,1)","","(4,12,1130,0,1)","(4,18,339,0,1)","","142120001","","31130314"
"141120007","12","7","100","3","(4,5,10350,0,1)","(4,6,10350,0,1)","(4,18,6210,0,1)","(4,5,565,0,1)","(4,6,565,0,1)","(4,18,339,0,1)","142120001","","31130315"
"141120008","12","8","100","2","(4,7,62100,0,1)","(4,16,6210,0,1)","","(4,7,3388,0,1)","(4,16,339,0,1)","","142120001","","31130316"
"141120009","12","9","100","2","(4,8,124200,0,1)","(4,16,6210,0,1)","","(4,8,6775,0,1)","(4,16,339,0,1)","","142120001","","31130317"
"141120010","12","10","100","2","(4,9,10350,0,1)","(4,16,6210,0,1)","","(4,9,565,0,1)","(4,16,339,0,1)","","142120001","","31130318"
"141120011","12","11","100","2","(4,10,10350,0,1)","(4,16,6210,0,1)","","(4,10,565,0,1)","(4,16,339,0,1)","","142120001","","31130319"
"141120012","12","12","100","2","(4,11,20700,0,1)","(4,16,6210,0,1)","","(4,11,1130,0,1)","(4,16,339,0,1)","","142120001","","31130320"
"141120013","12","13","100","2","(4,12,20700,0,1)","(4,16,6210,0,1)","","(4,12,1130,0,1)","(4,16,339,0,1)","","142120001","","31130321"
"141120014","12","14","100","3","(4,5,10350,0,1)","(4,6,10350,0,1)","(4,16,6210,0,1)","(4,5,565,0,1)","(4,6,565,0,1)","(4,16,339,0,1)","142120001","","31130322"
"141120015","12","15","100","2","(4,7,62100,0,1)","(4,20,6210,0,1)","","(4,7,3388,0,1)","(4,20,339,0,1)","","142120001","","31130323"
"141120016","12","16","100","2","(4,8,124200,0,1)","(4,20,6210,0,1)","","(4,8,6775,0,1)","(4,20,339,0,1)","","142120001","","31130324"
"141120017","12","17","100","2","(4,9,10350,0,1)","(4,20,6210,0,1)","","(4,9,565,0,1)","(4,20,339,0,1)","","142120001","","31130325"
"141120018","12","18","100","2","(4,10,10350,0,1)","(4,20,6210,0,1)","","(4,10,565,0,1)","(4,20,339,0,1)","","142120001","","31130326"
"141120019","12","19","100","2","(4,11,20700,0,1)","(4,20,6210,0,1)","","(4,11,1130,0,1)","(4,20,339,0,1)","","142120001","","31130327"
"141120020","12","20","100","2","(4,12,20700,0,1)","(4,20,6210,0,1)","","(4,12,1130,0,1)","(4,20,339,0,1)","","142120001","","31130328"
"141120021","12","21","100","3","(4,5,10350,0,1)","(4,6,10350,0,1)","(4,20,6210,0,1)","(4,5,565,0,1)","(4,6,565,0,1)","(4,20,339,0,1)","142120001","","31130329"
"141120022","12","22","100","2","(4,7,62100,0,1)","(4,22,6210,0,1)","","(4,7,3388,0,1)","(4,22,339,0,1)","","142120001","","31130330"
"141120023","12","23","100","2","(4,8,124200,0,1)","(4,22,6210,0,1)","","(4,8,6775,0,1)","(4,22,339,0,1)","","142120001","","31130331"
"141120024","12","24","100","2","(4,9,10350,0,1)","(4,22,6210,0,1)","","(4,9,565,0,1)","(4,22,339,0,1)","","142120001","","31130332"
"141120025","12","25","100","2","(4,10,10350,0,1)","(4,22,6210,0,1)","","(4,10,565,0,1)","(4,22,339,0,1)","","142120001","","31130333"
"141120026","12","26","100","2","(4,11,20700,0,1)","(4,22,6210,0,1)","","(4,11,1130,0,1)","(4,22,339,0,1)","","142120001","","31130334"
"141120027","12","27","100","2","(4,12,20700,0,1)","(4,22,6210,0,1)","","(4,12,1130,0,1)","(4,22,339,0,1)","","142120001","","31130335"
"141120028","12","28","100","3","(4,5,10350,0,1)","(4,6,10350,0,1)","(4,22,6210,0,1)","(4,5,565,0,1)","(4,6,565,0,1)","(4,22,339,0,1)","142120001","","31130336"
"141120029","1","0","0","0","","","","","","","142129991","","31130337"
"141120030","1","0","0","0","","","","","","","142129992","","31130338"
"141120031","1","0","0","0","","","","","","","142129993","","31130339"
"141120032","1","0","0","0","","","","","","","142129994","","31130340"
"141120033","1","0","0","0","","","","","","","142129995","","31130341"
