"AttributeId","ActivityTyp","TargetValue","AddValue","VIPAddNum","TagType","SubTabArray","ActivityOrder","ShowFlagArray","DesStringTemplateId","OpenTimeDescription","ExpTitleIcon","ExpTitleIconNum","MustDoRewardClass","PeopleTitleIcon","RewardClassArray","DynamicMoneyShow","StaticMoneyShow","ItemShow","WidgetJumpArray","IsCanFindBack","EffectLevelRange","DynamicFindBackInfo","StaticFindBackInfo","SiliverBackCost","DiamondBackCost","ItemFindBackArray","MapTemplateId","FuncUnlockName","SubscribeRewardId","InMapList"
"103000069","41","3","","","1","","18","(1,1)","90095309","0","","","4","91232816","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31130369,1,31130381,1,31130393,1,31130405,1,31130365,1)","(91240616,90305141,92720005,0,-1)","0","(0,999)","","","","","","71210003","BeliefAmbulatory","",""
"103000070","41","3","","","1","","18","(1,1)","90095309","0","","","4","91232816","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","","(91240616,90305141,92720005,0,-1)","0","(0,999)","","","","","","71210004","BeliefAmbulatory","",""
"103000071","40","3","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","","19","(1,1)","90095309","0","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000108,1,31080045,1,31000173,1,31000099,1)","(91240616,90054116,92720004,0,-1)","1","(0,999)","","","15000","30","(31000099,5,31090131,1,31000108,1)","71200001","Cross","",""
"103000072","42","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","","120000018","(1,1)","90095309","90305282","","","4","91232811","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000109,1,31140132,1,31010045,1,31010175,1)","(91290291,90096650,92800023,0,-1)","0","(0,999)","","","","","","71211103","Cross","164000811","(71211103,71211104,71211105,71211106)"
"103000073","43","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","","120000019","(1,1)","90203393","90203394","","","4","91290181","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000176,1,31000178,1,31010175,1)","(91290375,90203393,92810007,0,-1)","0","(0,999)","","","","","","71211107","Cross","","(71211107)"
"103000074","50","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","","120000021","(1,1)","90203713","90203729","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31140209,1,31140211,1)","(91290433,90203713,92810013,0,-1)","0","(0,999)","","","","","","","Cross","164000807","(71211109,71211110,71211111,71211129)"
"103000075","51","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","","20","(1,1)","90096854","0","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31131129,1,31131113,1,31131130,1)","(91290598,90096854,92810052,0,-1)","0","(0,999)","","","","","","","TianQi","",""
"103000076","46","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","","120000020","(1,1)","90204006","90204088","","","4","91232813","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31080113,1,31100062,1,31090114,1)","(91290720,90204006,92810015,0,-1)","0","(0,999)","","","","","","71211108","CrossLadder","","(71211108)"
"103000077","45","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","120000023","(1,1)","90090778","90097023","","","4","91290183","(0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000109,1,31080056,1)","(91232630,90305424,92330036,-1,-1)","0","(0,999)","","","","","","","Legion","164000801","(71220100)"
"103000078","44","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","120000024","(1,1)","90090778","90097024","","","4","91290183","(0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31080093,1)","(91232690,90305451,92330010,-1,-1)","0","(0,999)","","","","","","","Legion","164000802","(71220100)"
"103000079","47","2","12","(0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3)","1","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","3","(1,1)","90095309","0","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000108,1,31080045,1,31090541,1,31090545,1)","(91240616,90091247,92700004,2,-1)","1","(0,999)","","","30000","60","(31090541,1,31090545,1,31000108,2)","71170998","SingleBoss","",""
"103000080","48","5","1","(0,0,0,0,0,0,0,1,1,1,2,2,3,3,5,5,7,7)","2","(0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0)","120000025","(1,1)","90305760","90305838","","","4","91291092","(0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0)","","","(31080113,1,31100080,1,31090502,1)","(91291090,90305760,92810159,0,-1)","0","(0,999)","","","","","","71220601","ElementWar","","(71220601)"
"103000081","49","3","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","14","(1,1)","90095309","0","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000108,1,31080045,1,31000100,1,31000099,1)","(91240616,90091132,92700003,1,-1)","1","(0,999)","","","20000","40","(31000099,6,31000108,1)","","BossOfHome","",""
"103000082","52","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","120000026","(1,1)","90306200","90306327","","","4","91290183","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31020068,1,31140209,1,31140211,1","(91293487,90306200,92810245,0,-1)","0","(0,999)","","","","","","","Cross","164000809","(71220801)"
"103009999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
