"AttributeId","MiniMapShowNpcId","NpcId","BornX","BornY","BornZ","BornYaw","BornPitch","BornRoll","BornTime","PlotTips","FirstPlotTips"
"80010009","(73010504)","(76060004,76060004,76060004,76060005)","(22440,22440,22440,22448)","(11300,11300,11300,11308)","(780,780,780,788)","(90,90,90,98)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010010","(73010502)","(76060005,76060005,76060005,76060006)","(22440,22440,22440,22449)","(11300,11300,11300,11309)","(780,780,780,789)","(90,90,90,99)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010011","(73010501)","(76060004,76060004,76060006,76060006)","(22440,22440,22440,22450)","(11300,11300,11300,11310)","(780,780,780,790)","(90,90,90,100)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010012","(73010501)","(76060005,76060005,76060004,76060006)","(22440,22440,22440,22451)","(11300,11300,11300,11311)","(780,780,780,791)","(90,90,90,101)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010013","(73010503)","(76060004,76060004,76060004,76060005)","(22440,22440,22440,22452)","(11300,11300,11300,11312)","(780,780,780,792)","(90,90,90,102)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010014","(73010503)","(76060005,76060005,76060005,76060006)","(22440,22440,22440,22453)","(11300,11300,11300,11313)","(780,780,780,793)","(90,90,90,103)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010015","(73010503)","(76060004,76060004,76060006,76060006)","(22440,22440,22440,22454)","(11300,11300,11300,11314)","(780,780,780,794)","(90,90,90,104)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010016","(73010504)","(76060005,76060005,76060004,76060006)","(22440,22440,22440,22455)","(11300,11300,11300,11315)","(780,780,780,795)","(90,90,90,105)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010017","(73010504)","(76060008,76060008,76060008,76060009)","(22440,22440,22440,22456)","(11300,11300,11300,11316)","(780,780,780,796)","(90,90,90,106)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010018","(73010504)","(76060008,76060008,76060009,76060009)","(22440,22440,22440,22457)","(11300,11300,11300,11317)","(780,780,780,797)","(90,90,90,107)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010019","(73010504)","(76060009,76060009,76060010,76060010)","(22440,22440,22440,22458)","(11300,11300,11300,11318)","(780,780,780,798)","(90,90,90,108)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010020","(73010502)","(76060008,76060008,76060009,76060009)","(22440,22440,22440,22459)","(11300,11300,11300,11319)","(780,780,780,799)","(90,90,90,109)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","",""
"80010021","(73010501)","(76060008,76060008,76060008,76060009,0)","'(20076,20076,20076,20076,0)","'(17120,17120,17120,17120,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010022","(73010501)","(76060008,76060008,76060009,76060009,0)","'(20330,20330,20330,20330,0)","'(15140,15140,15140,15140,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010023","(73010503)","(76060009,76060009,76060010,76060010,0)","'(19170,19170,19170,19170,0)","'(13590,13590,13590,13590,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010024","(73010503)","(76060008,76060008,76060009,76060009,0)","'(17430,17430,17430,17430,0)","'(13290,13290,13290,13290,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010025","(73010503)","(76060012,76060012,76060012,76060013,0)","'(15420,15320,15220,15520,0)","'(13950,13850,13750,14050,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010026","(73010504)","(76060013,76060012,76060012,76060013,0)","'(15560,15560,15560,15560,0)","'(15950,15950,15950,15950,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010027","(73010504)","(76060013,76060014,76060014,76060013,0)","'(16130,16130,16130,16130,0)","'(18560,18560,18560,18560,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010028","(73010504)","(76060012,76060014,76060014,76060013,0)","'(18200,18200,18200,18200,0)","'(18360,18360,18360,18360,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010029","(73010504)","(76060012,76060012,76060012,76060013,0)","'(20076,20076,20076,20076,0)","'(17120,17120,17120,17120,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010030","(73010502)","(76060013,76060012,76060012,76060013,0)","'(20330,20330,20330,20330,0)","'(15140,15140,15140,15140,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010031","(73010501)","(76060013,76060014,76060014,76060013,0)","'(19170,19170,19170,19170,0)","'(13590,13590,13590,13590,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010032","(73010501)","(76060012,76060014,76060014,76060013,0)","'(17430,17430,17430,17430,0)","'(13290,13290,13290,13290,0)","'(570,570,570,570,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010033","(73010503)","(76060000,76060000,76060000,76060001,0)","'(25305,25305,25305,25305,0)","'(17435,17435,17435,17435,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010034","(73010503)","(76060000,76060000,76060001,76060002,0)","'(28185,28185,28185,28185,0)","'(18875,18875,18875,18875,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010035","(73010503)","(76060000,76060000,76060000,76060001,0)","'(30405,30405,30405,30405,0)","'(16525,16525,16525,16525,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010036","(73010504)","(76060000,76060000,76060001,76060002,0)","'(27665,27665,27665,27665,0)","'(14855,14855,14855,14855,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010037","(73010504)","(76060000,76060000,76060000,76060001,0)","'(25305,25305,25305,25305,0)","'(17435,17435,17435,17435,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010038","(73010504)","(76060000,76060000,76060001,76060002,0)","'(28185,28185,28185,28185,0)","'(18875,18875,18875,18875,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010039","(73010504)","(76060000,76060000,76060000,76060001,0)","'(30405,30405,30405,30405,0)","'(16525,16525,16525,16525,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010040","(73010502)","(76060000,76060000,76060001,76060002,0)","'(27665,27665,27665,27665,0)","'(14855,14855,14855,14855,0)","'(772,772,772,772,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010041","(73010501)","(76060076,76060076,76060076,76060077,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010042","(73010501)","(76060078,76060078,76060078,76060079,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010043","(73010503)","(76060080,76060080,76060080,76060081,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010044","(73010503)","(76060082,76060082,76060082,76060083,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010045","(73010503)","(76060084,76060084,76060084,76060085,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010046","(73010504)","(76060086,76060086,76060087,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010047","(73010504)","(76060088,76060088,76060089,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010048","(73010504)","(76060090,76060090,76060091,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010049","(73010504)","(76060092,76060092,76060093,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010050","(73010502)","(76060094,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010051","(73010501)","(76060095,76060095,76060095,76060096,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010052","(73010501)","(76060097,76060097,76060097,76060098,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010053","(73010503)","(76060099,76060099,76060099,76060100,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010054","(73010503)","(76060101,76060101,76060101,76060102,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010055","(73010503)","(76060103,76060103,76060103,76060104,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010056","(73010504)","(76060105,76060105,76060106,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010057","(73010504)","(76060107,76060107,76060108,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010058","(73010504)","(76060109,76060109,76060110,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010059","(73010504)","(76060111,76060111,76060112,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010060","(73010502)","(76060113,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010061","(73010501)","(76060114,76060114,76060114,76060115,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010062","(73010501)","(76060116,76060116,76060116,76060117,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010063","(73010503)","(76060118,76060118,76060118,76060119,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010064","(73010503)","(76060120,76060120,76060120,76060121,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010065","(73010503)","(76060122,76060122,76060122,76060123,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010066","(73010504)","(76060124,76060124,76060125,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010067","(73010504)","(76060126,76060126,76060127,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010068","(73010504)","(76060128,76060128,76060129,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010069","(73010504)","(76060130,76060130,76060131,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010070","(73010502)","(76060132,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010071","(73010501)","(76060133,76060133,76060133,76060134,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010072","(73010501)","(76060135,76060135,76060135,76060136,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010073","(73010503)","(76060137,76060137,76060137,76060138,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010074","(73010503)","(76060139,76060139,76060139,76060140,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010075","(73010503)","(76060141,76060141,76060141,76060142,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010076","(73010504)","(76060143,76060143,76060144,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010077","(73010504)","(76060145,76060145,76060146,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010078","(73010504)","(76060147,76060147,76060148,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010079","(73010504)","(76060149,76060149,76060150,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010080","(73010502)","(76060151,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010081","(73010501)","(76060152,76060152,76060152,76060153,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010082","(73010501)","(76060154,76060154,76060154,76060155,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010083","(73010503)","(76060156,76060156,76060156,76060157,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010084","(73010503)","(76060158,76060158,76060158,76060159,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010085","(73010503)","(76060160,76060160,76060160,76060161,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010086","(73010504)","(76060162,76060162,76060163,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010087","(73010504)","(76060164,76060164,76060165,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010088","(73010504)","(76060166,76060166,76060167,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010089","(73010504)","(76060168,76060168,76060169,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010090","(73010502)","(76060170,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010091","(73010501)","(76060171,76060171,76060171,76060172,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010092","(73010501)","(76060173,76060173,76060173,76060174,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010093","(73010503)","(76060175,76060175,76060175,76060176,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010094","(73010503)","(76060177,76060177,76060177,76060178,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010095","(73010503)","(76060179,76060179,76060179,76060180,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010096","(73010504)","(76060181,76060181,76060182,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010097","(73010504)","(76060183,76060183,76060184,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010098","(73010504)","(76060185,76060185,76060186,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010099","(73010504)","(76060187,76060187,76060188,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010100","(73010502)","(76060189,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010101","(73010501)","(76060190,76060190,76060190,76060191,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010102","(73010501)","(76060192,76060192,76060192,76060193,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010103","(73010503)","(76060194,76060194,76060194,76060195,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010104","(73010503)","(76060196,76060196,76060196,76060197,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010105","(73010503)","(76060198,76060198,76060198,76060199,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010106","(73010504)","(76060200,76060200,76060201,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010107","(73010504)","(76060202,76060202,76060203,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010108","(73010504)","(76060204,76060204,76060205,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010109","(73010504)","(76060206,76060206,76060207,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010110","(73010502)","(76060208,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010111","(73010501)","(76060209,76060209,76060209,76060210,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010112","(73010501)","(76060211,76060211,76060211,76060212,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010113","(73010503)","(76060213,76060213,76060213,76060214,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010114","(73010503)","(76060215,76060215,76060215,76060216,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010115","(73010503)","(76060217,76060217,76060217,76060218,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010116","(73010504)","(76060219,76060219,76060220,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010117","(73010504)","(76060221,76060221,76060222,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010118","(73010504)","(76060223,76060223,76060224,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010119","(73010504)","(76060225,76060225,76060226,0)","'(3170,2570,3250,0)","'(2520,3520,3240,0)","'(250,250,250,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80010120","(73010502)","(76060227,0)","'(3250,0)","'(3240,0)","'(500,0)","'(0,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80010121","(73010501)","(76060228,76060228,76060228,76060229,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010122","(73010501)","(76060230,76060230,76060230,76060231,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
"80010123","(73010503)","(76060232,76060232,76060232,76060233,0)","'(2250,3460,3750,3140,0)","'(3230,3930,2380,3230,0)","'(230,230,260,260,0)","'(90,90,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","",""
