"AttributeId","SensitiveTextCH","SensitiveTextKR","SensitiveTextTW","SensitiveTextEN","SensitiveTextTHA","SensitiveTextVN","SensitiveTextJP","SensitiveTextRus","SensitiveTextSG"
"94014372","陈至","에자","民爆器材","GM","อี_ดอก ","","GM","","GM"
"94014373","陈蒙","엑스터시","迷情液","GM","อีกระหรี่","","GM","","GM"
"94014374","陈西","엠병","迷奸粉","GM","อีกะหรี","","GM","","GM"
"94014375","陈训秋","엠병알","迷昏藥","GM","อีโง่","","GM","","GM"
"94014376","陈车","엠창","美沙酮","GM","อีช้างเย๊ด","","GM","","GM"
"94014377","陈际瓦","여자보지","麥司卡林","GM","อีชาติชั้ว","","GM","","GM"
"94014378","陈随便","염 병","麻黃素","GM","อีด อก","","GM","","GM"
"94014379","陈雷","염 병 할","麻果","GM","อีด/อก","","GM","","GM"
"94014380","陪睡觉|陪","염 병할","麻古","GM","อีดอก","","GM","","GM"
"94014381","陪聊","염 뵹","麻咕","GM","อีด-อก","","GM","","GM"
"94014382","陰唇|陰","염병","氯胺酮","GM","อีเดียด","","GM","","GM"
"94014383","陰穴新玩法","염병 할","雷管","GM","อีตัว","","GM","","GM"
"94014384","陰穴新玩法|陰","염병알","雷汞","GM","อีตุ๊ด","","GM","","GM"
"94014385","陰莖|陰","염병할","咳藥水","GM","อีแตรด","","GM","","GM"
"94014386","陰蒂|陰","염뵹","凱他敏","GM","อีบ้า","","GM","","GM"
"94014387","陳水扁罗","엿 먹 어 라","咖啡因","GM","อีเป็งสุดา","","GM","","GM"
"94014388","陶驷驹","엿 먹 어라","精神藥品","GM","อีเปรต","","GM","","GM"
"94014389","陷家铲","엿까","甲基安非他明","GM","อีไพร่","","GM","","GM"
"94014390","隐形喷剂","엿드셈","火藥","GM","อีมะขวิด","","GM","","GM"
"94014391","隐形耳机","엿먹 어 라","火箭系統 ","GM","อีแมงดา","","GM","","GM"
"94014392","隐瞒地震","엿먹 어라","海luo因","GM","อีแรด","","GM","","GM"
"94014393","隐私图片","엿먹ㅇㅓ","乖乖粉","GM","อีลูกกระหรี่","","GM","","GM"
"94014394","隐私图片|隐","엿먹어","鋼珠槍","GM","อีเลว","","GM","","GM"
"94014395","隐窝窝","엿먹어 라","仿真槍","GM","อีวอก","","GM","","GM"
"94014396","隐窝窝|隐","엿먹어라","販賣毒品","GM","อีเวน","","GM","","GM"
"94014397","隔离审查","영자","度冷丁","GM","อีเวร","","GM","","GM"
"94014398","隧道","옘병","地塞米松","GM","อีสัด","","GM","","GM"
"94014399","雄烯二醇","옘병알","促性腺激素","GM","อีสาด","","GM","","GM"
"94014400","雅安地震","옘병할","吃嬰","GM","อีหอย","","GM","","GM"
"94014401","雅安地震三怒","오 르 가 즘","苯丙胺","GM","อีหอยดอง","","GM","","GM"
"94014402","雅虎香港","오까마","爆炸物 ","GM","อีหัวสำรอก","","GM","","GM"
"94014403","集会","오라질","爆轟","GM","อีหา","","GM","","GM"
"94014404","集体上访","오랄","安眠酮","GM","อีห่า","","GM","","GM"
"94014405","集体性爱","오럴","愛他死","GM","อีห่าราก","","GM","","GM"
"94014406","集体淫","오럴섹스","阿芙蓉","GM","อีเห็ดสด","","GM","","GM"
"94014407","集体淫|集","오르가슴","testosterone","GM","อีอับปรี","","GM","","GM"
"94014408","集体自杀","오르가즘","strychnine","GM","เอากันปะ","","GM","","GM"
"94014409","雪儿美女视频聊天室","오살할","narcotic","GM","เอาทีดิ","","GM","","GM"
"94014410","雪儿美女视频聊天室|雪","오입","morphine","GM","เอาหัวนม","","GM","","GM"
"94014411","雪山狮子|雪","오줌","mdma","GM","ใอ้สัด","","GM","","GM"
"94014412","雪山狮子旗|雪","오징어냄새","ketamine","GM","ใอ้สัต","","GM","","GM"
"94014413","雪山迷踪","올가즘","heroin","GM","เฮงซวย","","GM","","GM"
"94014414","雪腿玉胯","옹녀","diamorphine","GM","เฮี่ย","","GM","","GM"
"94014415","雪腿玉胯|雪","완전성인용","diacetylmorphine","GM","ไอ้สัส","","GM","","GM"
"94014416","零8宪","왕가슴","cocain","GM","ไอ้ควย","","GM","","GM"
"94014417","零8宪|零","왕따","cannabis","GM","ควย","","GM","","GM"
"94014418","零八","왕버지","benzodiazepines","GM","สัส","","GM","","GM"
"94014419","零八奥运艰","왕보지","莊家","GM","ดอกทง","","GM","","GM"
"94014420","零八宪z","왕부랄","主席李世民","GM","โป๊","","GM","","GM"
"94014421","零八宪zhang","왕자지","震驚全球","GM","เย็ดแม่","","GM","","GM"
"94014422","零八宪zhang|零","왕잠지","偵探公司","GM","พ่อง","","GM","","GM"
"94014423","零八宪z|零","왕좃","炸學校","GM","พ่อมึง","","GM","","GM"
"94014424","零八宪政","왕좃밥","搖獎","GM","แม่มึง","","GM","","GM"
"94014425","零八宪政|零","왕털버지","血腥圖片 ","GM","พ่อมึงตาย","","GM","","GM"
"94014426","零八宪章","왕털보지","穴海","GM","แม่มึงตาย","","GM","","GM"
"94014427","零八宪章&人权宣言公布60周年纪念日","왕털자지","徐明","GM","กะหรี่","","GM","","GM"
"94014428","零八宪章&人权宣言公布60周年纪念日|零","왕털잠지","協警","GM","หี","","GM","","GM"
"94014429","零八宪章|零","요 년","香港賽馬會","GM","หีแม่","","GM","","GM"
"94014430","零八宪章与中国变革","요년","香港六星合彩","GM","หำ","","GM","","GM"
"94014431","零八宪章与中国变革|零","요씨댕","香港黃大仙","GM","。","","GM","","GM"
"94014432","零八憲章","욕지리","香港彩票 ","GM","、","","GM","","GM"
"94014433","零八憲章|零","욧나","無息貸款","GM","เ เ ม่ ง","","GM","","GM"
"94014434","零捌宪政","우띠","透碼","GM","เ ย็ ด","","GM","","GM"
"94014435","零捌宪政|零","우라질","偷渡","GM","เ ย็ด","","GM","","GM"
"94014436","零捌宪章","우미쑤셔","淘寶出售","GM","เ สื อ ก","","GM","","GM"
"94014437","零捌宪章|零","㉾","探測狗","GM","เ ห ี้ ย","","GM","","GM"
"94014438","零捌政","운영자","售遊戲幣 ","GM","เ!้ย","","GM","","GM"
"94014439","零捌政|零","운형자3","手機卡複製器","GM","เ.ป.ร.ต","","GM","","GM"
"94014440","零捌章","울먹울먹","手機定位","GM","เ.ย็.ด","","GM","","GM"
"94014441","零捌章|零","원조교재","社會黑暗","GM","เ.ย็.ด.แ.ม่","","GM","","GM"
"94014442","雷春美","원조교제","殺人犯 ","GM","เ.สื.อ.ก","","GM","","GM"
"94014443","雷汞","원조녀","群發器","GM","เ+ย็+ด","","GM","","GM"
"94014444","雷洁琼","원조알바","竊聽神器","GM","เเคมปลิ้น","","GM","","GM"
"94014445","雷潔瓊","원초적","器官移植","GM","แ ต ด","","GM","","GM"
"94014446","雷管|雷","원하는녀","六合采","GM","แ ตด","","GM","","GM"
"94014447","雷管制作","월경","糧荒","GM","แ ร ด","","GM","","GM"
"94014448","雷管制作|雷","유  방","看牌軟體","GM","แ รด","","GM","","GM"
"94014449","電話:68134451","유 두","監聽王","GM","ไ อ่","","GM","","GM"
"94014450","震其国土","유 방","假髮票 ","GM","ไ อ้","","GM","","GM"
"94014451","震惊一个民","유두","假鈔","GM","ไ.อ้.หั.ว.ถ.อ.ก","","GM","","GM"
"94014452","震惊全球","유두빨어","假幣","GM","ไ.อ้เ.ฮี้.ย","","GM","","GM"
"94014453","震死他们","유두핧어","雞毛信文匯","GM","กระ ดอ","","GM","","GM"
"94014454","霍英东临终遗言","유발 조물락","活體器官 ","GM","กระจู๋","","GM","","GM"
"94014455","露B|露","유방","駭客基地","GM","กระเจี้ยว","","GM","","GM"
"94014456","露乳","유방 만져","國之母","GM","กระเจี๊ยว","","GM","","GM"
"94014457","露女","유방 빨아","國姆","GM","กระเจี๋ยว","","GM","","GM"
"94014458","露女|露","유방 주물럭","國母","GM","กระดอ","","GM","","GM"
"94014459","露屄","유방 쪼물딱","高校暴亂 ","GM","กระเด้า","","GM","","GM"
"94014460","露底","유방 쪼물럭","高利息貸款","GM","กระทวย","","GM","","GM"
"94014461","露底|露","유방 핧아","放賬","GM","กระสัน","","GM","","GM"
"94014462","露拉3D","유방 핧어","放貸款 ","GM","กระหรี่","","GM","","GM"
"94014463","露毛","육 갑","仿真假鈔","GM","กะเจี๊ยว","","GM","","GM"
"94014464","露毛|露","육갑","發國難財","GM","กะดอ","","GM","","GM"
"94014465","露点","육갑떠","地下洗錢","GM","กะโปก","","GM","","GM"
"94014466","露点|露","육값","地下錢莊","GM","กะสัน","","GM","","GM"
"94014467","露点打飞机","육구자세","倒賣軍火","GM","กะหรี่","","GM","","GM"
"94014468","露穴","육깝","黨鞭","GM","กาจู๋","","GM","","GM"
"94014469","露穴|露","육봉","貸款理財","GM","กาเจี้ยว","","GM","","GM"
"94014470","露股","육봉대가리","粗口歌","GM","กาดอ","","GM","","GM"
"94014471","露股|露","육실할","抽水","GM","กาหรี่","","GM","","GM"
"94014472","露脸自拍","윤간","暴力襲擊","GM","กู","","GM","","GM"
"94014473","露脸自拍|露","윤락","暴力虐待","GM","แก่น!","","GM","","GM"
"94014474","露逼|露","음경","辦假證","GM","ขอรวมเพศหน่อย","","GM","","GM"
"94014475","露阴","음담패설","jq的來","GM","เย็ด","","GM","","GM"
"94014476","露阴照","음란","54式","GM","ค . ว . ย","","GM","","GM"
"94014477","露阴照|露","음모","真他媽","GM","ค ร ว ย","","GM","","GM"
"94014478","霸占土地","음부","長舌象","GM","ค ร วย","","GM","","GM"
"94014479","霸工","음욕","丫頭養的","GM","ค รว ย","","GM","","GM"
"94014480","霸课","음탕","小日本 ","GM","ค*วย","","GM","","GM"
"94014481","霸餐","이 년","無恥","GM","ค......................................ย","","GM","","GM"
"94014482","青天白日旗","이.년","臥艸","GM","ค........ว............ย.........","","GM","","GM"
"94014483","青年肉身挡坦克","이년","臥槽","GM","ค.......ว*******p","","GM","","GM"
"94014484","青年肉身挡坦克|青","이년시불년","臺灣豬","GM","ค.......ว*******ย","","GM","","GM"
"94014485","靓乳","이놈","她媽的","GM","ค.....ว...........ย","","GM","","GM"
"94014486","靓乳|靓","이뇬","他媽的靠 ","GM","ค....ว.....ย","","GM","","GM"
"94014487","靓穴","이새까","聖母白蓮花","GM","ค...ย","","GM","","GM"
"94014488","靓穴|靓","이새끼","傻B靠","GM","ค...ว...ย","","GM","","GM"
"94014489","靓逼","이시끼","沙比","GM","ค..ย","","GM","","GM"
"94014490","靓逼|靓","이시불것들아","殺b","GM","ค..ว..ย","","GM","","GM"
"94014491","靖国","이자식","塞你母 ","GM","ค..ว..ย..","","GM","","GM"
"94014492","靖国神社|靖","이펀","日你媽啦逼","GM","ค.ร.ว.ย","","GM","","GM"
"94014493","靖志远","이펀지엠","人渣","GM","ค.รวย","","GM","","GM"
"94014494","静zuo","이펀컴퍼니","全家死絕","GM","ค.ว.ย","","GM","","GM"
"94014495","静坐|静","일본년","全家死光","GM","ค.ว.ย.","","GM","","GM"
"94014496","非典","일진","全家不得好死","GM","ค.วย","","GM","","GM"
"94014497","非法征用","일진회","娘西皮","GM","ค//ว//ย","","GM","","GM"
"94014498","非法拆毁","입닥쳐","你他媽","GM","ค/ว/ย","","GM","","GM"
"94014499","靠你妈|靠","입사후장","你嗎b","GM","ค\ว\ย","","GM","","GM"
"94014500","面瘫.胡","입안사정","你麻痹","GM","ค^ว^ย","","GM","","GM"
"94014501","面积","입턴","媚外","GM","ค~ว~ย","","GM","","GM"
"94014502","革命吞噬它的儿女丁玲陈企霞反党集团案纪实","ㆀ","麻痹的","GM","ค+ว+ย","","GM","","GM"
"94014503","革命吞噬它的儿女丁玲陈企霞反党集团案纪实|革","ㆁ","媽批 ","GM","คvย","","GM","","GM"
"94014504","鞑子","ㆂ","媽了個逼","GM","คคคคคคววววววววววยยยยยย","","GM","","GM"
"94014505","鞭打|鞭","ㆃ","流氓","GM","ค-ย","","GM","","GM"
"94014506","韩东方","ㅈㄹ","領導幹部王八","GM","คร วย ","","GM","","GM"
"94014507","韩国狗","㈈","李愚蠢","GM","ครว ย","","GM","","GM"
"94014508","韩正","㉨","兼職","GM","ครวย","","GM","","GM"
"94014509","韩正降职副市长","자 기 핧 아","混蛋","GM","คร-วย","","GM","","GM"
"94014510","韩联潮","자 기 핧아","和絃","GM","ค-ร-ว-ย","","GM","","GM"
"94014511","韩质洁","자 지","狗日靠","GM","คว ย","","GM","","GM"
"94014512","韩长赋","자 지 빨 아","狗娘養","GM","คว*","","GM","","GM"
"94014513","顶360","자 지 빨 어","狗草","GM","คว*ย","","GM","","GM"
"94014514","项小吉","자 지 빨아","公檢法流氓","GM","คว...............ย","","GM","","GM"
"94014515","项怀诚","자 지 빨어","公安秩序搞亂","GM","คว.ย","","GM","","GM"
"94014516","颁奖部门奖","자 지 털","工商稅務兩條狼","GM","ควญ","","GM","","GM"
"94014517","预测18大","자 지 핧 어","幹你媽逼 ","GM","ควย","","GM","","GM"
"94014518","预测十八大","자 지 핧어","廢物 ","GM","คว-ย","","GM","","GM"
"94014519","领事馆","자 지털","大sb","GM","คว--ย","","GM","","GM"
"94014520","领双公告","자ji","刹筆","GM","ค-วย","","GM","","GM"
"94014521","领取","자궁","草你丫","GM","ค-ว-ย","","GM","","GM"
"94014522","领取复活币","자기 핧 아","草你嗎","GM","ค---ว---ย","","GM","","GM"
"94014523","领取复活币点卷","자기 핧아","艸你","GM","คว-ย ","","GM","","GM"
"94014524","领取黑钻复活币点卷","자기핥아","操你祖宗","GM","คววย","","GM","","GM"
"94014525","领取黑钻时装","자기핧 아","操你全家","GM","ควววย","","GM","","GM"
"94014526","领奖","자기핧아","操你娘","GM","โคดพ่อ","","GM","","GM"
"94014527","领导","자빠졌네","操你大爺","GM","โคตร","","GM","","GM"
"94014528","领导名人类:","자살","操蛋 ","GM","โคตรพ่อ","","GM","","GM"
"94014529","领导干部吃王八","자위","操吃大便","GM","โคตรแม่","","GM","","GM"
"94014530","颜射|颜","자위기구","擦你媽","GM","โครตพ่อ","","GM","","GM"
"94014531","颜射自拍","자위남","別他嗎","GM","โครตพ่อโครตแม่","","GM","","GM"
"94014532","颜色革命","자위녀","逼樣 ","GM","โครตแม่","","GM","","GM"
"94014533","颜骑","자위용품","爆你菊","GM","ฅ ว ย","","GM","","GM"
"94014534","颜骑|颜","자위중","fuck靠","GM","ฅ วย","","GM","","GM"
"94014535","颠覆中华人民共和国政","자ㅈㅣ","cao你","GM","ฅว ย","","GM","","GM"
"94014536","颠覆中国政权","자쥐","路易","GM","ฅวย","","GM","","GM"
"94014537","风尘劫","자쥣","新疆","GM","ฅว-ย","","GM","","GM"
"94014538","风山陆军军官学校|风","자즤","臺英社","GM","ฅ-วย","","GM","","GM"
"94014539","风月大陆","자지","CNN/NHK","GM","ฅ-ว-ย","","GM","","GM"
"94014540","风水宝地","자지 구녕","法西斯 ","GM","เงี่ยน","","GM","","GM"
"94014541","风艳阁","자지 구멍","裏番","GM","เงี้ยน","","GM","","GM"
"94014542","风艳阁|风","자지 꽂아","天天幹","GM","จัญไร","","GM","","GM"
"94014543","风雨神州","자지 빨 아","夢誅","GM","จันไร","","GM","","GM"
"94014544","风雨神州论坛","자지 빨 어","喜信","GM","จู๋","","GM","","GM"
"94014545","风骚","자지 빨아","代煉","GM","เจดแม่","","GM","","GM"
"94014546","风骚|风","자지 빨어","代戀","GM","เจ็ทแม่","","GM","","GM"
"94014547","风骚侍女","자지 쑤셔","帶戀","GM","เจสแม่","","GM","","GM"
"94014548","风骚欲女","자지 짤라","賣必","GM","เจี๊ยว","","GM","","GM"
"94014549","风骚淫荡","자지 털","賣碧","GM","เจือก","","GM","","GM"
"94014550","飞扬论坛","자지 핧 어","賣畢","GM","ชักว่าว","","GM","","GM"
"94014551","飞车活动栽判","자지 핧어","麥畢","GM","ชาติหมา","","GM","","GM"
"94014552","飞车活动裁判","자지가","買畢","GM","ชิงหมาเกิด","","GM","","GM"
"94014553","飞车活动裁叛","자지넣자","買閉","GM","ชิบหาย","","GM","","GM"
"94014554","飞车活动载判","자지년","六龍","GM","เซ็ก","","GM","","GM"
"94014555","食堂涨价","자지는","六龍御天","GM","เซ็กจัด","","GM","","GM"
"94014556","食精","자지때","靠北","GM","เซ็กซ์","","GM","","GM"
"94014557","食精|食","자지뜨더","臭俗辣","GM","ด อ","","GM","","GM"
"94014558","饭菜涨价","자지뜯어","賤女人","GM","ดอกทอง","","GM","","GM"
"94014559","饮水机连接成中水","자지박어","臭逼","GM","ดูดปาก","","GM","","GM"
"94014560","饮水机连接成中水|饮","자지빨 아","完美公司","GM","ดูดลิ้น","","GM","","GM"
"94014561","馒头屄","자지빨 어","完美時空","GM","ดูดหัวนม","","GM","","GM"
"94014562","馒头穴","자지빨아","池宇峰","GM","ดูหัวนม","","GM","","GM"
"94014563","馒头穴|馒","자지빨아줘","完美世界","GM","แดก","","GM","","GM"
"94014564","首付","자지빨어","客服","GM","ต ูด","","GM","","GM"
"94014565","香港6合彩","자지쓰레기","gm","GM","ตอแหล","","GM","","GM"
"94014566","香港6合彩公司","자지에","管理員","GM","ตีน","","GM","","GM"
"94014567","香港uu|香","자지정개","官方","GM","ตี น","","GM","","GM"
"94014568","香港六合彩|香","자지털","禮箱","GM","ตีฉิ่ง","","GM","","GM"
"94014569","香港六合彩公司","자지핧 어","禮盒","GM","ตู ด","","GM","","GM"
"94014570","香港六星合彩","자지핧아","cn","GM","เตี่ยม่องหรอ","","GM","","GM"
"94014571","香港商台","자지핧아줘","com","GM","แต ด","","GM","","GM"
"94014572","香港彩宝必中六肖|香","자지핧어","www","GM","ถอก","","GM","","GM"
"94014573","香港彩票|香","자짓","ｃｎ","GM","ถุย","","GM","","GM"
"94014574","香港总彩|香","㈖","ｃｏｍ","GM","นายโง่","","GM","","GM"
"94014575","香港总部","㉶","ｎｅｔ","GM","นายดอแหลน","","GM","","GM"
"94014576","香港惠泽社群|香","작은보지","ｗｗｗ","GM","นายเด็กเวร","","GM","","GM"
"94014577","香港明报","잠 지","毛澤東","GM","นายทุเรศ","","GM","","GM"
"94014578","香港曾道人|香","잠쥐","蔣介石","GM","นายบัดซบ","","GM","","GM"
"94014579","香港白小姐|香","잠지","周恩來","GM","นายเปรต","","GM","","GM"
"94014580","香港赛马会|香","잠지뚫어","劉少奇","GM","นายเป-รต","","GM","","GM"
"94014581","香港黄大仙|香","잠지물마셔","鄧小平","GM","นายลาว","","GM","","GM"
"94014582","馬化腾","잠지털","華國鋒","GM","นายลูกกระหรี่","","GM","","GM"
"94014583","馬化騰","잠짓","胡耀邦","GM","นายลูกหมา","","GM","","GM"
"94014584","馬鹿か韓国犬","잠짓물마셔","趙紫陽","GM","นายเลว","","GM","","GM"
"94014585","馿","잡 것","江澤民","GM","นายสราด","","GM","","GM"
"94014586","騰訊","잡 년","李鵬","GM","นายสราดดดดดด","","GM","","GM"
"94014587","騰讯","잡 놈","朱鎔基","GM","นายสักหมา","","GM","","GM"
"94014588","騷浪","잡것","羅幹","GM","นายสัด","","GM","","GM"
"94014589","騷浪|騷","잡년","李嵐清","GM","นายสัดกะหมา","","GM","","GM"
"94014590","驗証碼","잡놈","李瑞環","GM","นายสัดหมา","","GM","","GM"
"94014591","驗證碼","잡뇬","胡錦濤","GM","นายสัต","","GM","","GM"
"94014592","马 化 腾","잡뇸","溫家寶","GM","นายสัตร์","","GM","","GM"
"94014593","马三家","잡쓰레그","吳邦國","GM","นายสัตว","","GM","","GM"
"94014594","马会","장ㅇㅐㅈㅏ ","賈慶林","GM","นายสันดาน","","GM","","GM"
"94014595","马凯","장ㅇㅐ자","賀國強","GM","นายสาด","","GM","","GM"
"94014596","马力","장애ㅈㅏ ","習近平","GM","นายสารเลว","","GM","","GM"
"94014597","马勒","장애자","李克強","GM","นายเสี่ยว","","GM","","GM"
"94014598","马化腾","잦이","周永康","GM","นายหน้าโง่","","GM","","GM"
"94014599","马化騰","재랄","李長春","GM","นายหน้าดอ","","GM","","GM"
"94014600","马大维","쟈지","俞正聲","GM","นายหน้าด้าน","","GM","","GM"
"94014601","马强","쟘쥐","張高麗","GM","นายหน้าตัวเมีย","","GM","","GM"
"94014602","马志鹏","쟘지","薄熙來","GM","นายหน้าปิ๊","","GM","","GM"
"94014603","马恺","저 년","達賴","GM","นายหน้ามึน","","GM","","GM"
"94014604","马报","저까","和諧","GM","นายหน้าหมา","","GM","","GM"
"94014605","马时敏","저까??","胡溫","GM","นายหอก","","GM","","GM"
"94014606","马晓天","저까는","jb","GM","นายหอยย่น","","GM","","GM"
"94014607","马良骏","저까튼","dick","GM","นายหัวถอก","","GM","","GM"
"94014608","马营","저년","fuck","GM","นายห่า","","GM","","GM"
"94014609","马飚","저놈","kao","GM","น่าหม้อ","","GM","","GM"
"94014610","马馼","저능아","mb","GM","น้ำกาม","","GM","","GM"
"94014611","马驰","저떠씨벵","nnd","GM","น้ำแตก","","GM","","GM"
"94014612","驴屌","저런년","sb","GM","บริการทางเพศ","","GM","","GM"
"94014613","驴屌|驴","저빠지게","sex","GM","บ๊วบ","","GM","","GM"
"94014614","驻军","저빱","shit","GM","บัดซบ","","GM","","GM"
"94014615","驻藏","저새끼","民運","GM","บ้าป่าววะ","","GM","","GM"
"94014616","驾崩","저샤키","法輪","GM","บีบหัวนม","","GM","","GM"
"94014617","骂人、讽刺类:","저주글","海洛因","GM","ปิ๊","","GM","","GM"
"94014618","骂四川","전나","中宣部","GM","เป.ร.ต.","","GM","","GM"
"94014619","骆冰淫传","전나게","共產","GM","เป็น ค ว ย อะไร","","GM","","GM"
"94014620","骆惠宁","전나구려","民進","GM","เปรต","","GM","","GM"
"94014621","骆琳","절라","妓","GM","ไปดูดนมแม่ไป","","GM","","GM"
"94014622","验证","절라게","婊","GM","ไปตายซะ","","GM","","GM"
"94014623","验证码","점 물","尻","GM","ไปตายสะ","","GM","","GM"
"94014624","验证通知","점물","淫","GM","ไปตายห่า","","GM","","GM"
"94014625","骗钱","접밥","遊行","GM","ไปหามารดาคุณ","","GM","","GM"
"94014626","骚B熟女","접밥이","生殖","GM","พ่ อ มึ ง ตา ย","","GM","","GM"
"94014627","骚b|骚","젓 같 내","罷工","GM","พ่อ die","","GM","","GM"
"94014628","骚乱27人死亡","젓 같내","罷課","GM","พ่อคิงแม่คิง","","GM","","GM"
"94014629","骚乱|骚","젓 까","群交","GM","พ่อคิงหยั่ง","","GM","","GM"
"94014630","骚乳","젓 냄 새","肛交","GM","พ่อคุณเหรอ","","GM","","GM"
"94014631","骚乳|骚","젓 대가리","自焚","GM","พ่อตาย","","GM","","GM"
"94014632","骚动的喜玛拉雅","젓 떠","輿論","GM","พ่อมรึงตาย","","GM","","GM"
"94014633","骚包","젓 마무리","疆獨","GM","พ่อมรึงสิ","","GM","","GM"
"94014634","骚女|骚","젓 만 이","疫情","GM","พ่อเมิง","","GM","","GM"
"94014635","骚女人","젓 만이","睾丸","GM","พ่อเมิงตาย","","GM","","GM"
"94014636","骚女叫春","젓 물","小穴","GM","พ่อแม่ไม่ได้สั่งสอน","","GM","","GM"
"94014637","骚妇掰B","젓 밥","藏獨","GM","พ่อแม่ไม่สั่งสอน","","GM","","GM"
"94014638","骚妇露逼","젓가튼","迫害","GM","พ่อไม่สั่งสอน","","GM","","GM"
"94014639","骚妈","젓가튼쉐이","集會","GM","พ่อแย่จังตาย","","GM","","GM"
"94014640","骚妈|骚","젓같 내","陰莖","GM","พ่อสิ้น","","GM","","GM"
"94014641","骚妹|骚","젓같내","陰蒂","GM","ฟัก ยู","","GM","","GM"
"94014642","骚妹妹","젓같은","陰道","GM","ฟักยู","","GM","","GM"
"94014643","骚妻","젓같은?","外掛","GM","มึ ง","","GM","","GM"
"94014644","骚妻|骚","젓까","大麻","GM","มึง","","GM","","GM"
"94014645","骚姐姐","젓까는","吸毒","GM","มึ-ง","","GM","","GM"
"94014646","骚姐姐|骚","젓나","中共","GM","แม่ตาย","","GM","","GM"
"94014647","骚姨妈","젓나게","六四","GM","แม่ตายหรอไงว่ะ","","GM","","GM"
"94014648","骚姨妈|骚","젓대가리","獸交","GM","แม่ตายเหรอ","","GM","","GM"
"94014649","骚娘们","젓마난","騷穴","GM","แม่มรึงตาย","","GM","","GM"
"94014650","骚屄","젓만 이","騷逼","GM","ยักสุเน็ต","","GM","","GM"
"94014651","骚母","젓만이","龜頭","GM","ยัดแม่","","GM","","GM"
"94014652","骚母|骚","젓만한","雞八","GM","เย็ ด","","GM","","GM"
"94014653","骚比","젓물 냄새","雞巴","GM","เย็.ด","","GM","","GM"
"94014654","骚比|骚","젓밥","上訪","GM","เย้ด","","GM","","GM"
"94014655","骚水|骚","젓빠지게","東突","GM","เย๊ด","","GM","","GM"
"94014656","骚洞","젓소부랄","卵子","GM","เย็ต","","GM","","GM"
"94014657","骚洞|骚","젓탱이","口交","GM","เย็ท","","GM","","GM"
"94014658","骚浪人妻","정력","聖戰","GM","แย่เม็ด","","GM","","GM"
"94014659","骚浪美女","정사","革命","GM","ร่วมเพศ","","GM","","GM"
"94014660","骚浪美女|骚","정액","大紀元","GM","ร่าน","","GM","","GM"
"94014661","骚的可以","정액마셔","天安門","GM","รุมโทรม","","GM","","GM"
"94014662","骚穴|骚","정액먹어","中南海","GM","ลงแขก","","GM","","GM"
"94014663","骚穴怒放","정액발사","藏青會","GM","ล่อแม่","","GM","","GM"
"94014664","骚老婆","정액짜","中國政府","GM","ลาวสัด","","GM","","GM"
"94014665","骚老婆|骚","정액핧아","帶練","GM","ลูกอีกะหรี่","","GM","","GM"
"94014666","骚货|骚","정자","開房","GM","ลูกอีดอกทอง","","GM","","GM"
"94014667","骚逼|骚","정자마셔","強暴","GM","ลูกอีสาด","","GM","","GM"
"94014668","骯髒社徻","정자먹어","性交","GM","เลวสัด","","GM","","GM"
"94014669","高利息贷款","정자핧아","性愛","GM","เลียหัวนม","","GM","","GM"
"94014670","高利贷","젖 탱 이","總理","GM","เวรตะไล","","GM","","GM"
"94014671","高勤荣","젖 탱이","情色","GM","สถุน","","GM","","GM"
"94014672","高压气枪专卖","젖가슴","打炮","GM","สถุล","","GM","","GM"
"94014673","高压气枪专卖|高","젖가튼","打飛機","GM","สราด","","GM","","GM"
"94014674","高官","젖같은","暴徒","GM","หน้าควายตัวเมีย","","GM","","GM"
"94014675","高官互调","젖같은운영자","九評","GM","หน้าตัวเมีย","","GM","","GM"
"94014676","高官子女","젖고픈","亂倫","GM","หน้าปิ","","GM","","GM"
"94014677","高层人事变动","젖까","人權","GM","หน้าม่อ","","GM","","GM"
"94014678","高干子女","젖까는","代練","GM","หน้าเม็ด!","","GM","","GM"
"94014679","高干子弟","젖꼭지","傳單","GM","หน้าหนัง!","","GM","","GM"
"94014680","高强","젖나","做愛","GM","หน้าหม้อ","","GM","","GM"
"94014681","高念书","젖나??","傻B","GM","หน้าหมา","","GM","","GM"
"94014682","高息贷款","젖나게","八九","GM","หน้าหรี","","GM","","GM"
"94014683","高文谦","젖도","公告","GM","หน้าเหรี้ย","","GM","","GM"
"94014684","高智晟|高","젖마난","胡瘟","GM","หมอย","","GM","","GM"
"94014685","高树玛丽亚","젖만한","搖頭丸","GM","หมาคาบไปแดก","","GM","","GM"
"94014686","高树玛丽亚|高","젖물","釣魚島","GM","หมาไม่แดก","","GM","","GM"
"94014687","高树玛莉亚","젖밥","紅色旅","GM","หยาบช้า","","GM","","GM"
"94014688","高树玛莉亚|高","젖빠지게","犧牲品","GM","หยีเหม็น ","","GM","","GM"
"94014689","高武生","젖소부인","令計畫","GM","ห้วดอ","","GM","","GM"
"94014690","高洁的灵魂高耀结回忆录","젖은숲","尖閣列島","GM","หอกหัก","","GM","","GM"
"94014691","高洁的灵魂高耀结回忆录|高","젖탱 이","民主","GM","หัวดอ","","GM","","GM"
"94014692","高清","젖탱이","東方閃電","GM","หัวนม","","GM","","GM"
